food,carbs_g,protein_g,fat_g,fiber_g,calories,calories.1,GI,GI_band,GI_source,GI_confidence,GL_per_serving,Veg/Non-veg
Kadhai Paneer,7.34,4.33,6.81,2.07,107.99,107.99,35.0,Low,Estimated(Category),Medium,2.57,Veg
Roghan josh,4.93,9.56,9.02,2.08,139.59,139.59,25.0,Low,Estimated(Nutrient),Low,1.23,Veg
Spinach mutton (Palak mutton),3.45,5.74,4.71,2.23,80.32,80.32,25.0,Low,Estimated(Nutrient),Low,0.86,Non-Veg
Pea keema curry (Matar keema ki sabzi),6.24,8.43,8.14,2.96,133.0,133.0,40.0,Low,Estimated(Category),Medium,2.5,Veg
Keema kofta curry,5.64,9.77,10.39,1.51,154.45,154.45,40.0,Low,Estimated(Category),Medium,2.26,Veg
Kashmiri mutton koftas (Gushtaba),3.04,6.33,6.77,0.62,97.42,97.42,25.0,Low,Estimated(Nutrient),Low,0.76,Non-Veg
Mutton yakhni,0.84,8.27,7.7,0.67,104.13,104.13,25.0,Low,Estimated(Nutrient),Low,0.21,Non-Veg
Chicken yakhni,0.78,10.66,6.1,0.62,99.0,99.0,25.0,Low,Estimated(Nutrient),Low,0.2,Non-Veg
Mutton do piaza,4.14,9.39,14.41,1.93,183.3,183.3,25.0,Low,Estimated(Nutrient),Low,1.03,Non-Veg
Mutton chops,1.48,4.03,71.31,0.17,663.64,663.64,25.0,Low,Estimated(Nutrient),Low,0.37,Non-Veg
Shammi kebab,3.54,4.52,72.61,1.05,685.69,685.69,25.0,Low,Estimated(Nutrient),Low,0.88,Veg
Scotch egg,1.91,4.05,72.62,0.36,676.89,676.89,25.0,Low,Estimated(Nutrient),Low,0.48,Non-Veg
Shepherd's pie (with minced meat),8.06,7.45,8.88,1.05,142.78,142.78,25.0,Low,Estimated(Nutrient),Low,2.02,Non-Veg
Chicken curry,3.38,11.79,7.57,1.41,129.22,129.22,0.0,Low,Measured,High,0.0,Non-Veg
Chicken curry,3.38,11.79,7.57,1.41,129.22,129.22,0.0,Low,Measured,High,0.0,Non-Veg
Chicken curry,3.38,11.79,7.57,1.41,129.22,129.22,0.0,Low,Measured,High,0.0,Non-Veg
Chicken curry,3.38,11.79,7.57,1.41,129.22,129.22,0.0,Low,Measured,High,0.0,Non-Veg
Tandoori chicken,2.34,16.26,7.93,0.5,145.2,145.2,0.0,Low,Measured,High,0.0,Non-Veg
Tandoori chicken,2.34,16.26,7.93,0.5,145.2,145.2,0.0,Low,Measured,High,0.0,Non-Veg
Butter chicken,3.74,10.92,8.7,1.32,137.0,137.0,0.0,Low,Measured,High,0.0,Non-Veg
Butter chicken,3.74,10.92,8.7,1.32,137.0,137.0,0.0,Low,Measured,High,0.0,Non-Veg
Chicken kebab,1.11,3.71,78.89,0.21,729.41,729.41,0.0,Low,Measured,High,0.0,Non-Veg
Chilli chicken,2.86,9.57,16.56,0.99,198.83,198.83,25.0,Low,Estimated(Nutrient),Low,0.72,Non-Veg
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),2.51,11.48,7.61,1.13,125.03,125.03,45.0,Low,Estimated(Category),Medium,1.13,Non-Veg
Fish curry (Machli curry),3.77,8.76,6.69,1.89,111.13,111.13,0.0,Low,Measured,High,0.0,Non-Veg
Fish curry (Machli curry),3.77,8.76,6.69,1.89,111.13,111.13,0.0,Low,Measured,High,0.0,Non-Veg
Fish curry (Machli curry),3.77,8.76,6.69,1.89,111.13,111.13,0.0,Low,Measured,High,0.0,Non-Veg
Fried fish (Indian style) (Tali hui machli),5.4,4.35,68.88,0.61,658.54,658.54,25.0,Low,Estimated(Nutrient),Low,1.35,Non-Veg
Fried fish and Chips (English Style) (Tali hui machli aur chips),2.77,3.36,69.69,0.29,651.75,651.75,80.0,High,Estimated(Category),Medium,2.22,Non-Veg
Tomato fish,3.18,2.39,51.91,0.72,489.79,489.79,45.0,Low,Estimated(Category),Medium,1.43,Non-Veg
Baked fish with cheese sauce,4.06,8.64,7.02,0.08,113.96,113.96,25.0,Low,Estimated(Nutrient),Low,1.01,Non-Veg
Fish tikka,3.91,16.0,4.15,1.18,117.33,117.33,25.0,Low,Estimated(Nutrient),Low,0.98,Non-Veg
Tandoori fish,2.37,11.19,4.64,0.58,95.98,95.98,25.0,Low,Estimated(Nutrient),Low,0.59,Non-Veg
"Paneer, apple and pineapple salad",8.35,3.88,5.07,1.65,95.08,95.08,45.0,Low,Estimated(Category),Medium,3.76,Veg
Russian salad,6.5,4.26,7.84,2.57,114.83,114.83,25.0,Low,Estimated(Nutrient),Low,1.62,Veg
Pasta salad,12.7,4.15,13.92,0.96,190.36,190.36,45.0,Low,Estimated(Category),Medium,5.72,Veg
Deviled egg,2.23,4.97,7.72,1.15,98.56,98.56,25.0,Low,Estimated(Nutrient),Low,0.56,Non-Veg
Hawain salad,14.35,4.27,11.37,3.93,175.23,175.23,27.4,Low,Estimated(Nutrient),Low,3.93,Veg
Mixed pulse and vegetable salad,13.96,4.74,0.84,2.96,83.12,83.12,35.0,Low,Estimated(Category),Medium,4.89,Veg
Sprouted moong salad ,5.48,2.29,0.74,0.95,37.81,37.81,30.0,Low,Estimated(Category),Medium,1.64,Veg
Tossed salad,4.95,1.02,4.22,2.15,62.96,62.96,31.0,Low,Estimated(Nutrient),Low,1.53,Veg
Mixed vegetable salad with curd sauce,7.03,4.23,1.5,3.79,60.28,60.28,35.0,Low,Estimated(Category),Medium,2.46,Veg
Potato salad (Aloo ka salaad),11.19,1.4,4.4,1.32,89.91,89.91,80.0,High,Estimated(Category),Medium,8.95,Veg
Waldroff salad,11.02,1.47,10.05,1.87,141.75,141.75,27.8,Low,Estimated(Nutrient),Low,3.06,Veg
Coleslaw,5.59,1.24,5.32,2.34,76.71,76.71,29.8,Low,Estimated(Nutrient),Low,1.67,Veg
Fruit salad (Phalon ka salaad),15.96,0.91,1.22,1.58,78.14,78.14,45.0,Low,Estimated(Category),Medium,7.18,Veg
Tomato onion raita (Tamatar aur pyaaz ka raita),7.08,3.74,1.84,0.97,59.0,59.0,45.0,Low,Estimated(Category),Medium,3.19,Veg
Peanut raita (Mungfali ka raita),9.3,8.59,8.98,1.89,150.39,150.39,45.0,Low,Estimated(Category),Medium,4.19,Veg
Sprouted moong raita ,6.13,4.62,2.19,0.16,60.89,60.89,30.0,Low,Estimated(Category),Medium,1.84,Veg
Bottle gourd raita (Ghiya/Lauki ka raita),5.76,3.98,2.07,0.85,56.31,56.31,31.5,Low,Estimated(Nutrient),Low,1.81,Veg
Cucumber raita (Kheere ka raita),6.35,4.04,2.08,0.86,59.13,59.13,33.0,Low,Estimated(Nutrient),Low,2.1,Veg
Carrot and spinach raita (Gajar aur palak ka raita),5.83,4.0,1.99,1.39,56.83,56.83,45.0,Low,Estimated(Category),Medium,2.62,Veg
Mint raita (Pudinay ka raita),7.65,5.64,2.96,0.34,77.59,77.59,31.0,Low,Estimated(Nutrient),Low,2.37,Veg
Potato raita (Aloo ka raita),10.24,4.22,2.04,0.75,75.38,75.38,80.0,High,Estimated(Category),Medium,8.19,Veg
Boondi raita,3.96,2.19,73.83,0.46,687.72,687.72,25.0,Low,Estimated(Nutrient),Low,0.99,Veg
Sweet raita (Meetha raita),17.93,3.24,1.78,1.02,99.24,99.24,90.0,High,Estimated(Category),Medium,16.14,Veg
Dahi vadas/Dahi bhalla,5.49,2.96,70.4,0.97,667.73,667.73,80.0,High,Estimated(Category),Medium,4.39,Veg
Gunjia,5.68,2.98,70.28,1.13,667.34,667.34,25.0,Low,Estimated(Nutrient),Low,1.42,Veg
Saunth/Sonth chutney with tamarind/imli,33.55,1.01,0.15,0.93,141.53,141.53,65.8,Medium,Estimated(Nutrient),Low,22.08,Veg
Rice kheer (Chawal ki kheer),10.05,2.3,2.97,0.17,75.03,75.03,75.0,High,Estimated(Category),Medium,7.54,Veg
Makhana kheer,12.88,3.31,5.0,0.11,107.85,107.85,40.6,Low,Estimated(Nutrient),Low,5.23,Veg
Vermicelli kheer (Semiya/Seviyan ki kheer),15.87,3.35,5.0,0.5,120.07,120.07,44.0,Low,Estimated(Nutrient),Low,6.98,Veg
Semolina kheer (Suji/Rava kheer),15.88,3.43,4.2,0.51,113.21,113.21,45.4,Low,Estimated(Nutrient),Low,7.21,Veg
Paneer kheer,10.03,4.53,5.37,0.07,105.31,105.31,35.0,Low,Estimated(Category),Medium,3.51,Veg
Cabbage kheer (Pattagobhi ki kheer),9.73,2.87,3.8,0.51,83.51,83.51,55.0,Low,Estimated(Category),Medium,5.35,Veg
Carrot kheer (Gajar ki kheer),10.09,2.81,3.85,0.73,85.35,85.35,45.0,Low,Estimated(Category),Medium,4.54,Veg
Cauliflower kheer (Phoolgobhi ki kheer),8.78,3.04,3.95,0.55,81.95,81.95,35.0,Low,Estimated(Category),Medium,3.07,Veg
Moong dal kheer,9.89,2.95,2.97,0.4,77.16,77.16,30.0,Low,Estimated(Category),Medium,2.97,Veg
Phirni,16.11,3.49,4.34,0.36,116.12,116.12,45.2,Low,Estimated(Nutrient),Low,7.28,Veg
Semolina halwa (Suji ka halwa),24.67,2.16,13.38,1.86,225.65,225.65,90.0,High,Estimated(Category),Medium,22.2,Veg
Shahi suji halwa,44.44,3.48,21.73,2.96,382.34,382.34,90.0,High,Estimated(Category),Medium,40.0,Veg
Carrot halwa (Gajar ka halwa),18.53,3.11,9.73,2.65,172.64,172.64,45.0,Low,Estimated(Category),Medium,8.34,Veg
Egg halwa (Ande ka halwa),39.59,7.85,13.41,0.49,299.74,299.74,90.0,High,Estimated(Category),Medium,35.63,Non-Veg
Potato halwa (Aloo ka halwa),29.18,1.53,3.48,1.64,151.66,151.66,80.0,High,Estimated(Category),Medium,23.34,Veg
Pumpkin halwa (Kaddu ka halwa),27.6,1.33,8.81,2.97,190.27,190.27,90.0,High,Estimated(Category),Medium,24.84,Veg
Moong dal halwa,40.23,8.35,17.68,2.65,349.8,349.8,30.0,Low,Estimated(Category),Medium,12.07,Veg
Caramel custard (steamed),15.02,4.97,4.87,0.0,121.58,121.58,40.7,Low,Estimated(Nutrient),Low,6.11,Veg
Baked custard,9.45,5.41,5.3,0.0,106.53,106.53,31.3,Low,Estimated(Nutrient),Low,2.96,Veg
Soft Custard (stirred),11.19,5.01,5.07,0.0,109.18,109.18,35.2,Low,Estimated(Nutrient),Low,3.94,Veg
Chocolate ice cream,15.41,4.47,11.25,0.0,177.7,177.7,63.0,Medium,Estimated(Category),Medium,9.71,Veg
Mango ice cream,11.14,3.4,7.62,0.52,125.69,125.69,45.0,Low,Estimated(Category),Medium,5.01,Veg
Fruit Ice cream (Phalon ka Ice cream),16.05,4.37,10.38,0.33,171.46,171.46,63.0,Medium,Estimated(Category),Medium,10.11,Veg
Caramel ice cream,14.81,4.31,11.15,0.08,173.52,173.52,63.0,Medium,Estimated(Category),Medium,9.33,Veg
Lemon souffle,13.43,6.95,10.02,0.0,168.51,168.51,45.0,Low,Estimated(Category),Medium,6.04,Veg
Orange souffle,14.2,6.8,9.73,0.22,168.28,168.28,45.0,Low,Estimated(Category),Medium,6.39,Veg
Vanilla souffle,14.78,7.71,11.19,0.0,187.85,187.85,25.0,Low,Estimated(Nutrient),Low,3.7,Veg
Chocolate souffle,14.74,7.88,11.36,0.0,189.32,189.32,25.0,Low,Estimated(Nutrient),Low,3.68,Veg
Pineapple souffle ,15.52,8.06,11.72,0.0,196.14,196.14,45.0,Low,Estimated(Category),Medium,6.98,Veg
Apple mousse,12.77,4.21,4.27,1.6,106.92,106.92,45.0,Low,Estimated(Category),Medium,5.75,Veg
Rich chocolate mousse,10.84,7.96,12.19,0.0,188.26,188.26,25.0,Low,Estimated(Nutrient),Low,2.71,Veg
Mango mousse,9.14,3.21,8.47,0.88,124.98,124.98,45.0,Low,Estimated(Category),Medium,4.11,Veg
Orange and pineapple cream,11.96,1.44,5.43,1.03,101.18,101.18,45.0,Low,Estimated(Category),Medium,5.38,Veg
Charlotte rousse,34.08,3.95,4.78,1.01,188.29,188.29,54.5,Low,Estimated(Nutrient),Low,18.57,Veg
Triffle pudding,18.24,2.93,3.93,0.12,116.97,116.97,48.9,Low,Estimated(Nutrient),Low,8.92,Veg
Snow flakes pudding,8.07,4.67,4.97,0.03,95.21,95.21,30.2,Low,Estimated(Nutrient),Low,2.44,Veg
Kulfi,11.3,3.21,4.7,0.12,98.43,98.43,39.1,Low,Estimated(Nutrient),Low,4.42,Veg
Steamed orange pudding,41.53,2.34,12.04,0.58,278.03,278.03,45.0,Low,Estimated(Category),Medium,18.69,Veg
Meringue and rice pudding,14.6,4.84,4.05,0.17,112.93,112.93,75.0,High,Estimated(Category),Medium,10.95,Veg
Cheese pudding,19.27,11.29,18.37,0.05,285.01,285.01,25.0,Low,Estimated(Nutrient),Low,4.82,Veg
Chocolate pudding,29.59,3.55,9.48,0.53,211.96,211.96,47.5,Low,Estimated(Nutrient),Low,14.06,Veg
Bread and butter pudding ,19.63,5.59,7.88,0.98,167.94,167.94,40.3,Low,Estimated(Nutrient),Low,7.91,Veg
Queen of pudding,16.35,5.51,5.38,0.27,132.92,132.92,40.5,Low,Estimated(Nutrient),Low,6.62,Veg
Pineapple upside down pudding,35.73,3.15,11.91,0.8,257.73,257.73,45.0,Low,Estimated(Category),Medium,16.08,Veg
Date and nut pie,46.86,3.93,13.31,4.13,322.42,322.42,45.4,Low,Estimated(Nutrient),Low,21.27,Veg
Stewed apple with custard,18.36,1.27,1.82,1.01,92.87,92.87,45.0,Low,Estimated(Category),Medium,8.26,Veg
Apple snowballs,24.58,0.86,0.31,1.25,101.51,101.51,45.0,Low,Estimated(Category),Medium,11.06,Veg
Hot orange souffle,18.77,6.87,8.95,0.29,179.97,179.97,45.0,Low,Estimated(Category),Medium,8.45,Veg
Hot chocolate souffle,26.21,6.7,11.1,0.12,226.09,226.09,35.8,Low,Estimated(Nutrient),Low,9.38,Veg
Hot vanilla souffle,21.77,6.87,9.07,0.13,192.93,192.93,39.4,Low,Estimated(Nutrient),Low,8.58,Veg
Plain burfi (Burfi),30.88,9.82,27.96,0.17,408.32,408.32,26.0,Low,Estimated(Nutrient),Low,8.03,Veg
Coconut burfi (Nariyal ki burfi),32.15,8.81,34.63,3.5,467.64,467.64,25.0,Low,Estimated(Nutrient),Low,8.04,Veg
Bottle gourd burfi (Ghiya/Lauki burfi),24.51,5.86,17.68,0.73,275.96,275.96,30.0,Low,Estimated(Nutrient),Low,7.35,Veg
Chocolate burfi,33.15,13.0,17.86,0.0,339.33,339.33,30.7,Low,Estimated(Nutrient),Low,10.18,Veg
Cashewnut burfi (Kaju burfi/Kaju katli),37.92,5.48,28.46,1.12,421.74,421.74,45.0,Low,Estimated(Category),Medium,17.06,Veg
Gram flour burfi (Besan burfi),46.59,11.19,22.41,3.41,421.79,421.79,30.0,Low,Estimated(Category),Medium,13.98,Veg
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),52.86,6.71,21.86,4.68,428.71,428.71,39.9,Low,Estimated(Nutrient),Low,21.09,Veg
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),50.9,5.68,27.03,6.69,464.43,464.43,27.1,Low,Estimated(Nutrient),Low,13.79,Veg
Gram flour ladoo (Besan ladoo),62.61,8.93,22.76,4.43,476.91,476.91,30.0,Low,Estimated(Category),Medium,18.78,Veg
Sesame ladoo (Til ke ladoo),43.5,10.7,19.64,7.72,396.96,396.96,25.7,Low,Estimated(Nutrient),Low,11.18,Veg
Chenna murki,36.01,10.46,8.2,0.0,252.69,252.69,45.3,Low,Estimated(Nutrient),Low,16.31,Veg
Milk cake,9.13,3.01,8.93,0.06,127.41,127.41,45.0,Low,Estimated(Category),Medium,4.11,Veg
Ghujia/Lavang latika,13.0,1.86,78.93,0.52,768.98,768.98,25.0,Low,Estimated(Nutrient),Low,3.25,Veg
Gulab Jamun with khoya,26.09,2.03,53.23,0.07,586.06,586.06,25.0,Low,Estimated(Nutrient),Low,6.52,Veg
Mal pua,17.56,1.71,54.64,0.62,566.68,566.68,25.0,Low,Estimated(Nutrient),Low,4.39,Veg
Shahi tukre,41.46,2.76,2.54,0.51,189.81,189.81,60.8,Medium,Estimated(Nutrient),Low,25.21,Veg
Potato pakora/pakoda (Aloo pakoda),6.04,1.9,71.84,1.03,677.19,677.19,80.0,High,Estimated(Category),Medium,4.83,Veg
Onion pakora/pakoda (Pyaaz ke pakode),5.41,1.9,71.84,1.11,674.61,674.61,80.0,High,Estimated(Category),Medium,4.33,Veg
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),4.52,1.98,71.86,1.26,671.63,671.63,80.0,High,Estimated(Category),Medium,3.62,Veg
Mixed vegetable pakora/pakoda,5.12,1.94,71.86,1.13,673.81,673.81,80.0,High,Estimated(Category),Medium,4.1,Veg
Spinach pakora/pakoda (Palak pakoda),4.68,1.96,76.38,1.02,712.62,712.62,80.0,High,Estimated(Category),Medium,3.74,Veg
Methi pakora/pakoda (Methi ke pakode),4.68,2.06,76.39,1.18,713.25,713.25,80.0,High,Estimated(Category),Medium,3.74,Veg
Egg pakora/pakoda (Ande ke pakode),4.48,2.83,75.86,0.86,710.51,710.51,80.0,High,Estimated(Category),Medium,3.58,Non-Veg
Bread pakora/pakoda,8.87,2.57,74.2,1.11,710.99,710.99,80.0,High,Estimated(Category),Medium,7.1,Veg
Paneer pakora/pakoda,5.52,3.27,76.05,0.89,718.12,718.12,35.0,Low,Estimated(Category),Medium,1.93,Veg
Potato bonda (Aloo bonda),4.53,1.09,67.8,0.83,632.84,632.84,80.0,High,Estimated(Category),Medium,3.62,Veg
Potato samosa (Aloo ka samosa),9.21,1.71,59.19,1.19,577.39,577.39,80.0,High,Estimated(Category),Medium,7.37,Veg
Minced meat samosa (Keema ka samosa),6.14,4.43,64.26,0.39,620.99,620.99,80.0,High,Estimated(Category),Medium,4.91,Non-Veg
Paneer and pea samosa (Paneer matar ka samosa),8.55,4.02,63.65,1.02,623.81,623.81,35.0,Low,Estimated(Category),Medium,2.99,Veg
Mathri,12.32,1.75,83.1,0.6,805.12,805.12,25.0,Low,Estimated(Nutrient),Low,3.08,Veg
Khasta kachori,12.81,2.51,72.27,0.97,712.73,712.73,25.0,Low,Estimated(Nutrient),Low,3.2,Veg
Vegetable cutlet,4.68,1.25,71.33,0.93,665.45,665.45,35.0,Low,Estimated(Category),Medium,1.64,Veg
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),7.39,1.76,73.89,0.86,701.71,701.71,75.0,High,Estimated(Category),Medium,5.54,Veg
Peanut cutlet (Mungfali ke cutlet),5.68,2.63,74.0,1.21,698.77,698.77,45.0,Low,Estimated(Category),Medium,2.56,Veg
Fish cutlet (Machli ka cutlet),3.13,2.77,70.11,0.54,654.64,654.64,25.0,Low,Estimated(Nutrient),Low,0.78,Non-Veg
Paneer potato cutlet (Paneer aloo cutlet),5.23,2.47,71.4,0.41,672.94,672.94,80.0,High,Estimated(Category),Medium,4.18,Veg
Spinach chickpeas cutlet (Palak channa dal cutlet),4.93,1.44,73.6,0.93,688.03,688.03,45.0,Low,Estimated(Category),Medium,2.22,Veg
Cheese toast,5.49,1.98,84.11,0.31,785.37,785.37,25.0,Low,Estimated(Nutrient),Low,1.37,Veg
Vegetable burger,13.69,3.26,50.63,1.7,519.93,519.93,35.0,Low,Estimated(Category),Medium,4.79,Veg
Cheese pizza,30.62,5.79,12.43,1.95,249.5,249.5,80.0,High,Estimated(Category),Medium,24.5,Veg
Vegetable seekh kebab,5.32,1.57,73.72,0.59,690.73,690.73,35.0,Low,Estimated(Category),Medium,1.86,Veg
Masala vada,4.06,1.69,89.15,1.07,826.02,826.02,80.0,High,Estimated(Category),Medium,3.25,Veg
Peanut sago vada (Sabudana mungfali vada),7.14,1.01,79.82,0.62,749.89,749.89,45.0,Low,Estimated(Category),Medium,3.21,Veg
Vegeterian scotch egg,4.64,2.16,72.77,0.58,681.67,681.67,25.0,Low,Estimated(Nutrient),Low,1.16,Non-Veg
Paneer shaslik/tikka,7.98,5.11,4.49,1.23,93.85,93.85,35.0,Low,Estimated(Category),Medium,2.79,Veg
Peanut brittle (Moongfali ki chikki),47.46,6.94,11.13,2.63,320.46,320.46,45.0,Low,Estimated(Category),Medium,21.36,Veg
Spring roll,8.56,1.81,64.63,0.67,623.87,623.87,25.0,Low,Estimated(Nutrient),Low,2.14,Veg
Dry mango chutney (Sookhe aam ki chutney),69.17,2.43,0.7,3.74,298.13,298.13,45.0,Low,Estimated(Category),Medium,31.13,Veg
Peanut chutney (Mungfali ki chutney),9.87,11.8,19.06,5.73,258.37,258.37,45.0,Low,Estimated(Category),Medium,4.44,Veg
Coconut chutney (Nariyal ki chutney),8.29,3.59,25.0,6.73,265.92,265.92,35.0,Low,Measured,High,2.9,Veg
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),21.18,2.81,0.51,4.33,102.6,102.6,58.1,Medium,Estimated(Nutrient),Low,12.31,Veg
Custard tart,28.66,3.72,10.73,0.91,225.6,225.6,40.5,Low,Estimated(Nutrient),Low,11.61,Veg
Lemon tart,30.68,6.12,17.45,0.81,303.35,303.35,45.0,Low,Estimated(Category),Medium,13.81,Veg
Jam tart,46.18,4.42,17.35,1.14,360.72,360.72,41.9,Low,Estimated(Nutrient),Low,19.35,Veg
Orange cream tart,27.43,2.58,8.72,0.64,197.16,197.16,45.0,Low,Estimated(Category),Medium,12.34,Veg
Pineapple tart,28.62,2.29,8.21,0.87,195.4,195.4,45.0,Low,Estimated(Category),Medium,12.88,Veg
Cheese and mushroom tart,21.43,5.51,15.28,1.18,246.1,246.1,45.0,Low,Estimated(Category),Medium,9.64,Veg
Cottage cheese pie,20.66,7.45,13.83,2.21,238.98,238.98,28.7,Low,Estimated(Nutrient),Low,5.93,Veg
Minced meat pie,18.11,7.38,13.04,2.33,221.55,221.55,27.1,Low,Estimated(Nutrient),Low,4.91,Non-Veg
Apple cinnamon pie,33.68,3.35,12.21,1.77,258.73,258.73,45.0,Low,Estimated(Category),Medium,15.16,Veg
Lemon meringue pie,35.11,3.88,8.16,0.44,224.43,224.43,45.0,Low,Estimated(Category),Medium,15.8,Veg
Chocolate meringue pie,28.8,4.98,9.17,0.37,214.76,214.76,45.9,Low,Estimated(Nutrient),Low,13.22,Veg
Cream puffs,16.0,4.7,15.48,0.38,221.33,221.33,25.1,Low,Estimated(Nutrient),Low,4.02,Veg
Chocolate eclairs,26.22,4.24,13.5,0.33,239.42,239.42,35.8,Low,Estimated(Nutrient),Low,9.39,Veg
Cheese balls,4.81,2.21,72.57,0.18,681.28,681.28,25.0,Low,Estimated(Nutrient),Low,1.2,Veg
Minced meat patties,15.25,6.88,19.57,0.77,265.72,265.72,25.0,Low,Estimated(Nutrient),Low,3.81,Non-Veg
Cheese patties,22.23,7.38,22.67,1.24,324.01,324.01,25.0,Low,Estimated(Nutrient),Low,5.56,Veg
Hot cheese souffle,5.41,9.18,13.23,0.12,177.1,177.1,25.0,Low,Estimated(Nutrient),Low,1.35,Veg
Hot potato souffle,8.56,5.51,7.64,0.66,125.64,125.64,80.0,High,Estimated(Category),Medium,6.85,Veg
Hot fish souffle,3.69,11.23,9.24,0.1,142.92,142.92,25.0,Low,Estimated(Nutrient),Low,0.92,Non-Veg
Hot spinach souffle,4.19,5.43,7.24,0.99,104.25,104.25,25.0,Low,Estimated(Nutrient),Low,1.05,Veg
Plain cream cake,47.18,6.18,16.17,0.71,353.94,353.94,41.8,Low,Estimated(Nutrient),Low,19.72,Veg
Apple cake (Seb ka cake),39.48,4.94,12.87,1.22,290.08,290.08,45.0,Low,Estimated(Category),Medium,17.77,Veg
Marble cake,46.88,6.3,16.27,0.71,354.11,354.11,41.6,Low,Estimated(Nutrient),Low,19.5,Veg
Chocolate cake,45.14,6.01,15.18,0.64,335.61,335.61,41.9,Low,Estimated(Nutrient),Low,18.91,Veg
Orange cake,48.28,6.1,16.21,0.83,357.61,357.61,45.0,Low,Estimated(Category),Medium,21.73,Veg
Fruit Loaf ,46.49,5.36,13.31,0.87,324.19,324.19,45.0,Low,Estimated(Category),Medium,20.92,Veg
Banana cake (Kele ka cake),40.0,5.77,23.31,1.14,389.51,389.51,63.0,Medium,Estimated(Category),Medium,25.2,Veg
Chocolate chiffon cake,37.87,5.76,15.8,0.7,311.71,311.71,38.9,Low,Estimated(Nutrient),Low,14.73,Veg
Christmas cake,48.29,5.49,16.88,1.49,372.95,372.95,42.2,Low,Estimated(Nutrient),Low,20.38,Veg
Strawberry and vanilla cake with butter icing,44.25,3.89,20.39,0.79,370.54,370.54,45.0,Low,Estimated(Category),Medium,19.91,Veg
Eggless cake,46.14,8.12,11.75,0.68,318.08,318.08,43.2,Low,Estimated(Nutrient),Low,19.93,Veg
Swiss roll,48.34,7.3,3.77,0.55,251.87,251.87,56.0,Medium,Estimated(Nutrient),Low,27.07,Veg
Pineapple pastry ,29.04,6.06,7.87,0.72,208.21,208.21,45.0,Low,Estimated(Category),Medium,13.07,Veg
Black forest pastry,34.48,6.09,8.46,0.54,233.55,233.55,48.2,Low,Estimated(Nutrient),Low,16.62,Veg
Coconut finger,42.56,7.09,8.86,1.87,274.86,274.86,50.1,Low,Estimated(Nutrient),Low,21.32,Veg
Pineapple cake ,23.51,5.01,9.34,0.76,195.57,195.57,45.0,Low,Estimated(Category),Medium,10.58,Veg
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),47.1,6.56,23.62,1.54,424.8,424.8,37.1,Low,Estimated(Nutrient),Low,17.47,Veg
Chocolate chip cookies,57.98,5.79,19.38,1.05,425.29,425.29,43.2,Low,Estimated(Nutrient),Low,25.05,Veg
Sweet plain biscuit,50.29,5.86,17.67,1.07,380.76,380.76,90.0,High,Estimated(Category),Medium,45.26,Veg
Chocolate biscuit,51.56,5.88,17.09,1.01,379.76,379.76,42.8,Low,Estimated(Nutrient),Low,22.07,Veg
Coconut biscuit (Nariyal ke biscuit),42.9,5.78,27.16,3.64,434.98,434.98,34.1,Low,Estimated(Nutrient),Low,14.63,Veg
Sweet and salty biscuit (Meethay aur namkeen biscuit),45.09,6.15,22.39,1.68,407.96,407.96,90.0,High,Estimated(Category),Medium,40.58,Veg
Peanut biscuit,46.72,8.45,20.41,2.48,401.05,401.05,45.0,Low,Estimated(Category),Medium,21.02,Veg
Pin wheel biscuit,54.56,5.4,18.66,1.16,404.6,404.6,43.0,Low,Estimated(Nutrient),Low,23.46,Veg
Saffron biscuit (Kesar biscuit),59.7,6.05,22.01,1.9,458.61,458.61,42.1,Low,Estimated(Nutrient),Low,25.13,Veg
Masala biscuit,45.18,6.06,20.75,2.14,393.64,393.64,38.3,Low,Estimated(Nutrient),Low,17.3,Veg
Ice box cookies,56.09,5.7,14.44,1.28,374.24,374.24,45.8,Low,Estimated(Nutrient),Low,25.69,Veg
Ginger bread man,60.26,6.61,11.01,1.6,365.0,365.0,48.5,Low,Estimated(Nutrient),Low,29.23,Veg
Danish cookies,58.0,5.33,24.92,1.37,475.33,475.33,40.5,Low,Estimated(Nutrient),Low,23.49,Veg
Short bread cookies,64.82,6.03,17.98,1.57,443.09,443.09,45.5,Low,Estimated(Nutrient),Low,29.49,Veg
Coffee biscuit,46.55,6.9,23.0,1.59,416.57,416.57,37.1,Low,Estimated(Nutrient),Low,17.27,Veg
Melting moments,55.84,5.71,21.78,1.88,437.91,437.91,41.4,Low,Estimated(Nutrient),Low,23.12,Veg
Ginger biscuit (Adarak ke biscuit),58.44,5.98,18.31,1.49,417.91,417.91,43.9,Low,Estimated(Nutrient),Low,25.66,Veg
Soyabean muthias,3.7,2.46,90.45,1.47,839.33,839.33,30.0,Low,Estimated(Category),Medium,1.11,Veg
Soyabean tikki,4.39,3.53,74.02,2.2,698.17,698.17,30.0,Low,Estimated(Category),Medium,1.32,Veg
